Unity 6000.3.23f1
SCENE LK_Core
Salt stained tower wall: position=(3.536, 1.600, 3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 315.0, 0.0); collider=Center: (3.536, 1.600, 3.536), Extents: (0.491, 1.600, 0.491)
Salt stained tower wall: position=(-4.904, 8.000, 0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 191.3, 0.0); collider=Center: (-4.904, 8.000, 0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(-4.619, 1.600, -1.913); scale=(0.400, 3.200, 0.990); rotation=(0.0, 157.5, 0.0); collider=Center: (-4.619, 1.600, -1.913), Extents: (0.374, 1.600, 0.534)
Salt stained tower wall: position=(-0.975, 4.800, 4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 258.8, 0.0); collider=Center: (-0.975, 4.800, 4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(2.778, 11.200, -4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 56.3, 0.0); collider=Center: (2.778, 11.200, -4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(0.975, 1.600, 4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 281.3, 0.0); collider=Center: (0.975, 1.600, 4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(-4.157, 4.800, 2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 213.8, 0.0); collider=Center: (-4.157, 4.800, 2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(-2.778, 1.600, -4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 123.8, 0.0); collider=Center: (-2.778, 1.600, -4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(-4.904, 1.600, 0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 191.3, 0.0); collider=Center: (-4.904, 1.600, 0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(-4.157, 8.000, -2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 146.3, 0.0); collider=Center: (-4.157, 8.000, -2.778), Extents: (0.441, 1.600, 0.523)
Tower entry surround: position=(-5.000, 1.500, 1.550); scale=(0.350, 3.000, 1.900); rotation=(0.0, 0.0, 0.0); collider=Center: (-5.000, 1.500, 1.550), Extents: (0.175, 1.500, 0.950)
Salt stained tower wall: position=(-4.619, 1.600, 1.913); scale=(0.400, 3.200, 0.990); rotation=(0.0, 202.5, 0.0); collider=Center: (-4.619, 1.600, 1.913), Extents: (0.374, 1.600, 0.534)
Salt stained tower wall: position=(-3.536, 4.800, -3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 135.0, 0.0); collider=Center: (-3.536, 4.800, -3.536), Extents: (0.491, 1.600, 0.491)
Salt stained tower wall: position=(-3.536, 1.600, 3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 225.0, 0.0); collider=Center: (-3.536, 1.600, 3.536), Extents: (0.491, 1.600, 0.491)
Entrance lintel: position=(5.000, 12.350, 0.000); scale=(0.400, 0.800, 0.900); rotation=(0.0, 0.0, 0.0); collider=Center: (5.000, 12.350, 0.000), Extents: (0.200, 0.400, 0.450)
Salt stained tower wall: position=(-3.536, 1.600, -3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 135.0, 0.0); collider=Center: (-3.536, 1.600, -3.536), Extents: (0.491, 1.600, 0.491)
Salt stained tower wall: position=(-4.157, 1.600, 2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 213.8, 0.0); collider=Center: (-4.157, 1.600, 2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(-4.904, 8.000, -0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 168.8, 0.0); collider=Center: (-4.904, 8.000, -0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(-4.157, 4.800, -2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 146.3, 0.0); collider=Center: (-4.157, 4.800, -2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(2.778, 4.800, -4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 56.3, 0.0); collider=Center: (2.778, 4.800, -4.157), Extents: (0.523, 1.600, 0.441)
Workbench leg: position=(-8.150, 0.400, 1.480); scale=(0.090, 0.800, 0.090); rotation=(0.0, 0.0, 0.0); collider=Center: (-8.150, 0.400, 1.480), Extents: (0.045, 0.400, 0.045)
Salt stained tower wall: position=(4.157, 11.200, 2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 326.3, 0.0); collider=Center: (4.157, 11.200, 2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(-4.157, 8.000, 2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 213.8, 0.0); collider=Center: (-4.157, 8.000, 2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(1.913, 8.000, -4.619); scale=(0.400, 3.200, 0.990); rotation=(0.0, 67.5, 0.0); collider=Center: (1.913, 8.000, -4.619), Extents: (0.534, 1.600, 0.374)
Salt stained tower wall: position=(2.778, 8.000, 4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 303.8, 0.0); collider=Center: (2.778, 8.000, 4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(-3.536, 4.800, 3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 225.0, 0.0); collider=Center: (-3.536, 4.800, 3.536), Extents: (0.491, 1.600, 0.491)
Salt stained tower wall: position=(4.157, 4.800, 2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 326.3, 0.0); collider=Center: (4.157, 4.800, 2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(-4.157, 11.200, 2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 213.8, 0.0); collider=Center: (-4.157, 11.200, 2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(4.619, 1.600, -1.913); scale=(0.400, 3.200, 0.990); rotation=(0.0, 22.5, 0.0); collider=Center: (4.619, 1.600, -1.913), Extents: (0.374, 1.600, 0.534)
Workbench leg: position=(-8.150, 0.400, 1.920); scale=(0.090, 0.800, 0.090); rotation=(0.0, 0.0, 0.0); collider=Center: (-8.150, 0.400, 1.920), Extents: (0.045, 0.400, 0.045)
Salt stained tower wall: position=(-2.778, 4.800, 4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 236.3, 0.0); collider=Center: (-2.778, 4.800, 4.157), Extents: (0.523, 1.600, 0.441)
Salt damaged keeper logbook: position=(-8.800, 0.880, 1.700); scale=(0.350, 0.060, 0.250); rotation=(0.0, 0.0, 0.0); collider=none
Salt stained tower wall: position=(4.157, 11.200, -2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 33.8, 0.0); collider=Center: (4.157, 11.200, -2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(-0.975, 11.200, 4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 258.8, 0.0); collider=Center: (-0.975, 11.200, 4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(0.975, 8.000, -4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 78.8, 0.0); collider=Center: (0.975, 8.000, -4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(0.975, 11.200, -4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 78.8, 0.0); collider=Center: (0.975, 11.200, -4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(0.975, 1.600, -4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 78.8, 0.0); collider=Center: (0.975, 1.600, -4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(-4.904, 4.800, -0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 168.8, 0.0); collider=Center: (-4.904, 4.800, -0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(-2.778, 8.000, -4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 123.8, 0.0); collider=Center: (-2.778, 8.000, -4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(-4.904, 11.200, 0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 191.3, 0.0); collider=Center: (-4.904, 11.200, 0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(2.778, 4.800, 4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 303.8, 0.0); collider=Center: (2.778, 4.800, 4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(2.778, 11.200, 4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 303.8, 0.0); collider=Center: (2.778, 11.200, 4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(-2.778, 11.200, -4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 123.8, 0.0); collider=Center: (-2.778, 11.200, -4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(3.536, 8.000, 3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 315.0, 0.0); collider=Center: (3.536, 8.000, 3.536), Extents: (0.491, 1.600, 0.491)
Salt stained tower wall: position=(-0.975, 8.000, 4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 258.8, 0.0); collider=Center: (-0.975, 8.000, 4.904), Extents: (0.525, 1.600, 0.293)
Entrance lintel: position=(-5.000, 2.750, 0.000); scale=(0.400, 0.800, 0.900); rotation=(0.0, 180.0, 0.0); collider=Center: (-5.000, 2.750, 0.000), Extents: (0.200, 0.400, 0.450)
Salt stained tower wall: position=(1.913, 4.800, -4.619); scale=(0.400, 3.200, 0.990); rotation=(0.0, 67.5, 0.0); collider=Center: (1.913, 4.800, -4.619), Extents: (0.534, 1.600, 0.374)
Salt stained tower wall: position=(-1.913, 1.600, 4.619); scale=(0.400, 3.200, 0.990); rotation=(0.0, 247.5, 0.0); collider=Center: (-1.913, 1.600, 4.619), Extents: (0.534, 1.600, 0.374)
Salt stained tower wall: position=(-0.975, 4.800, -4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 101.3, 0.0); collider=Center: (-0.975, 4.800, -4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(-4.619, 8.000, 1.913); scale=(0.400, 3.200, 0.990); rotation=(0.0, 202.5, 0.0); collider=Center: (-4.619, 8.000, 1.913), Extents: (0.374, 1.600, 0.534)
Salt stained tower wall: position=(-3.536, 8.000, 3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 225.0, 0.0); collider=Center: (-3.536, 8.000, 3.536), Extents: (0.491, 1.600, 0.491)
Salt stained tower wall: position=(1.913, 4.800, 4.619); scale=(0.400, 3.200, 0.990); rotation=(0.0, 292.5, 0.0); collider=Center: (1.913, 4.800, 4.619), Extents: (0.534, 1.600, 0.374)
Salt stained tower wall: position=(4.904, 8.000, -0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 11.3, 0.0); collider=Center: (4.904, 8.000, -0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(-2.778, 11.200, 4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 236.3, 0.0); collider=Center: (-2.778, 11.200, 4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(4.157, 8.000, 2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 326.3, 0.0); collider=Center: (4.157, 8.000, 2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(2.778, 1.600, 4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 303.8, 0.0); collider=Center: (2.778, 1.600, 4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(0.975, 11.200, 4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 281.3, 0.0); collider=Center: (0.975, 11.200, 4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(4.619, 8.000, 1.913); scale=(0.400, 3.200, 0.990); rotation=(0.0, 337.5, 0.0); collider=Center: (4.619, 8.000, 1.913), Extents: (0.374, 1.600, 0.534)
Salt stained tower wall: position=(3.536, 4.800, -3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 45.0, 0.0); collider=Center: (3.536, 4.800, -3.536), Extents: (0.491, 1.600, 0.491)
Salt stained tower wall: position=(-4.619, 8.000, -1.913); scale=(0.400, 3.200, 0.990); rotation=(0.0, 157.5, 0.0); collider=Center: (-4.619, 8.000, -1.913), Extents: (0.374, 1.600, 0.534)
Salt stained tower wall: position=(3.536, 4.800, 3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 315.0, 0.0); collider=Center: (3.536, 4.800, 3.536), Extents: (0.491, 1.600, 0.491)
Salt stained tower wall: position=(-0.975, 1.600, -4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 101.3, 0.0); collider=Center: (-0.975, 1.600, -4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(-2.778, 1.600, 4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 236.3, 0.0); collider=Center: (-2.778, 1.600, 4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(0.975, 8.000, 4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 281.3, 0.0); collider=Center: (0.975, 8.000, 4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(4.904, 8.000, 0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 348.8, 0.0); collider=Center: (4.904, 8.000, 0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(4.157, 1.600, -2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 33.8, 0.0); collider=Center: (4.157, 1.600, -2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(-4.904, 4.800, 0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 191.3, 0.0); collider=Center: (-4.904, 4.800, 0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(4.904, 4.800, -0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 11.3, 0.0); collider=Center: (4.904, 4.800, -0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(3.536, 8.000, -3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 45.0, 0.0); collider=Center: (3.536, 8.000, -3.536), Extents: (0.491, 1.600, 0.491)
Salt stained tower wall: position=(-0.975, 1.600, 4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 258.8, 0.0); collider=Center: (-0.975, 1.600, 4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(4.619, 4.800, -1.913); scale=(0.400, 3.200, 0.990); rotation=(0.0, 22.5, 0.0); collider=Center: (4.619, 4.800, -1.913), Extents: (0.374, 1.600, 0.534)
Salt stained tower wall: position=(-2.778, 4.800, -4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 123.8, 0.0); collider=Center: (-2.778, 4.800, -4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(-4.619, 4.800, 1.913); scale=(0.400, 3.200, 0.990); rotation=(0.0, 202.5, 0.0); collider=Center: (-4.619, 4.800, 1.913), Extents: (0.374, 1.600, 0.534)
Salt stained tower wall: position=(4.619, 8.000, -1.913); scale=(0.400, 3.200, 0.990); rotation=(0.0, 22.5, 0.0); collider=Center: (4.619, 8.000, -1.913), Extents: (0.374, 1.600, 0.534)
Salt stained tower wall: position=(-1.913, 1.600, -4.619); scale=(0.400, 3.200, 0.990); rotation=(0.0, 112.5, 0.0); collider=Center: (-1.913, 1.600, -4.619), Extents: (0.534, 1.600, 0.374)
Salt stained tower wall: position=(-3.536, 8.000, -3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 135.0, 0.0); collider=Center: (-3.536, 8.000, -3.536), Extents: (0.491, 1.600, 0.491)
Salt stained tower wall: position=(4.619, 1.600, 1.913); scale=(0.400, 3.200, 0.990); rotation=(0.0, 337.5, 0.0); collider=Center: (4.619, 1.600, 1.913), Extents: (0.374, 1.600, 0.534)
Salt stained tower wall: position=(0.975, 4.800, -4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 78.8, 0.0); collider=Center: (0.975, 4.800, -4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(-1.913, 8.000, 4.619); scale=(0.400, 3.200, 0.990); rotation=(0.0, 247.5, 0.0); collider=Center: (-1.913, 8.000, 4.619), Extents: (0.534, 1.600, 0.374)
Workbench leg: position=(-9.450, 0.400, 1.480); scale=(0.090, 0.800, 0.090); rotation=(0.0, 0.0, 0.0); collider=Center: (-9.450, 0.400, 1.480), Extents: (0.045, 0.400, 0.045)
Salt stained tower wall: position=(3.536, 1.600, -3.536); scale=(0.400, 3.200, 0.990); rotation=(0.0, 45.0, 0.0); collider=Center: (3.536, 1.600, -3.536), Extents: (0.491, 1.600, 0.491)
Salt stained tower wall: position=(-4.904, 11.200, -0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 168.8, 0.0); collider=Center: (-4.904, 11.200, -0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(2.778, 1.600, -4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 56.3, 0.0); collider=Center: (2.778, 1.600, -4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(-1.913, 4.800, 4.619); scale=(0.400, 3.200, 0.990); rotation=(0.0, 247.5, 0.0); collider=Center: (-1.913, 4.800, 4.619), Extents: (0.534, 1.600, 0.374)
Salt stained tower wall: position=(-1.913, 4.800, -4.619); scale=(0.400, 3.200, 0.990); rotation=(0.0, 112.5, 0.0); collider=Center: (-1.913, 4.800, -4.619), Extents: (0.534, 1.600, 0.374)
Salt stained tower wall: position=(-1.913, 8.000, -4.619); scale=(0.400, 3.200, 0.990); rotation=(0.0, 112.5, 0.0); collider=Center: (-1.913, 8.000, -4.619), Extents: (0.534, 1.600, 0.374)
Salt stained tower wall: position=(-4.157, 11.200, -2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 146.3, 0.0); collider=Center: (-4.157, 11.200, -2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(4.904, 1.600, -0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 11.3, 0.0); collider=Center: (4.904, 1.600, -0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(4.904, 1.600, 0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 348.8, 0.0); collider=Center: (4.904, 1.600, 0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(4.904, 11.200, -0.975); scale=(0.400, 3.200, 0.990); rotation=(0.0, 11.3, 0.0); collider=Center: (4.904, 11.200, -0.975), Extents: (0.293, 1.600, 0.525)
Salt stained tower wall: position=(-4.619, 4.800, -1.913); scale=(0.400, 3.200, 0.990); rotation=(0.0, 157.5, 0.0); collider=Center: (-4.619, 4.800, -1.913), Extents: (0.374, 1.600, 0.534)
Salt stained tower wall: position=(4.157, 1.600, 2.778); scale=(0.400, 3.200, 0.990); rotation=(0.0, 326.3, 0.0); collider=Center: (4.157, 1.600, 2.778), Extents: (0.441, 1.600, 0.523)
Salt stained tower wall: position=(1.913, 1.600, -4.619); scale=(0.400, 3.200, 0.990); rotation=(0.0, 67.5, 0.0); collider=Center: (1.913, 1.600, -4.619), Extents: (0.534, 1.600, 0.374)
Salt stained tower wall: position=(-0.975, 8.000, -4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 101.3, 0.0); collider=Center: (-0.975, 8.000, -4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(2.778, 8.000, -4.157); scale=(0.400, 3.200, 0.990); rotation=(0.0, 56.3, 0.0); collider=Center: (2.778, 8.000, -4.157), Extents: (0.523, 1.600, 0.441)
Salt stained tower wall: position=(0.975, 4.800, 4.904); scale=(0.400, 3.200, 0.990); rotation=(0.0, 281.3, 0.0); collider=Center: (0.975, 4.800, 4.904), Extents: (0.525, 1.600, 0.293)
Salt stained tower wall: position=(1.913, 8.000, 4.619); scale=(0.400, 3.200, 0.990); rotation=(0.0, 292.5, 0.0); collider=Center: (1.913, 8.000, 4.619), Extents: (0.534, 1.600, 0.374)
Workbench leg: position=(-9.450, 0.400, 1.920); scale=(0.090, 0.800, 0.090); rotation=(0.0, 0.0, 0.0); collider=Center: (-9.450, 0.400, 1.920), Extents: (0.045, 0.400, 0.045)
SCENE LK_Exterior
Window rain volume: position=(-5.600, 12.000, 0.000); scale=(1.000, 1.000, 1.000); rotation=(0.0, 0.0, 0.0); collider=none
Window rain volume: position=(-8.000, 4.000, -3.000); scale=(1.000, 1.000, 1.000); rotation=(0.0, 0.0, 0.0); collider=none
Window rain volume: position=(5.600, 12.000, 0.000); scale=(1.000, 1.000, 1.000); rotation=(0.0, 0.0, 0.0); collider=none
Window rain volume: position=(0.000, 12.000, 5.600); scale=(1.000, 1.000, 1.000); rotation=(0.0, 0.0, 0.0); collider=none
Window rain volume: position=(-8.000, 4.000, 3.000); scale=(1.000, 1.000, 1.000); rotation=(0.0, 0.0, 0.0); collider=none
Window rain volume: position=(0.000, 12.000, -5.600); scale=(1.000, 1.000, 1.000); rotation=(0.0, 0.0, 0.0); collider=none
Recycled balcony rain: position=(0.000, 14.000, 0.000); scale=(1.000, 1.000, 1.000); rotation=(0.0, 0.0, 0.0); collider=none
Exterior rain on slate: position=(-8.000, 3.000, 0.000); scale=(1.000, 1.000, 1.000); rotation=(0.0, 0.0, 0.0); collider=none
SCENE LK_Level03_Communications
Workbench leg: position=(4.050, 6.800, 0.220); scale=(0.090, 0.800, 0.090); rotation=(0.0, 0.0, 0.0); collider=Center: (4.050, 6.800, 0.220), Extents: (0.045, 0.400, 0.045)
Workbench leg: position=(0.650, 6.800, -3.720); scale=(0.090, 0.800, 0.090); rotation=(0.0, 0.0, 0.0); collider=Center: (0.650, 6.800, -3.720), Extents: (0.045, 0.400, 0.045)
Workbench leg: position=(0.650, 6.800, -3.280); scale=(0.090, 0.800, 0.090); rotation=(0.0, 0.0, 0.0); collider=Center: (0.650, 6.800, -3.280), Extents: (0.045, 0.400, 0.045)
Workbench leg: position=(-0.650, 6.800, -3.720); scale=(0.090, 0.800, 0.090); rotation=(0.0, 0.0, 0.0); collider=Center: (-0.650, 6.800, -3.720), Extents: (0.045, 0.400, 0.045)
Workbench leg: position=(4.050, 6.800, -0.220); scale=(0.090, 0.800, 0.090); rotation=(0.0, 0.0, 0.0); collider=Center: (4.050, 6.800, -0.220), Extents: (0.045, 0.400, 0.045)
Workbench leg: position=(2.750, 6.800, 0.220); scale=(0.090, 0.800, 0.090); rotation=(0.0, 0.0, 0.0); collider=Center: (2.750, 6.800, 0.220), Extents: (0.045, 0.400, 0.045)
Maintenance worktop: position=(0.000, 7.220, -3.500); scale=(1.600, 0.100, 0.700); rotation=(0.0, 0.0, 0.0); collider=Center: (0.000, 7.220, -3.500), Extents: (0.800, 0.050, 0.350)
Workbench leg: position=(2.750, 6.800, -0.220); scale=(0.090, 0.800, 0.090); rotation=(0.0, 0.0, 0.0); collider=Center: (2.750, 6.800, -0.220), Extents: (0.045, 0.400, 0.045)
Maintenance worktop: position=(3.400, 7.220, 0.000); scale=(1.600, 0.100, 0.700); rotation=(0.0, 0.0, 0.0); collider=Center: (3.400, 7.220, 0.000), Extents: (0.800, 0.050, 0.350)
Workbench leg: position=(-0.650, 6.800, -3.280); scale=(0.090, 0.800, 0.090); rotation=(0.0, 0.0, 0.0); collider=Center: (-0.650, 6.800, -3.280), Extents: (0.045, 0.400, 0.045)
SCENE LK_Level04_Lantern
Lantern balcony: position=(0.000, 0.000, 0.000); scale=(1.000, 1.000, 1.000); rotation=(0.0, 0.0, 0.0); collider=Center: (0.000, 9.600, 0.000), Extents: (6.650, 0.000, 6.650)
